donanim,motor
1.6L Ti-VCT 125PS (159 Nm) Titanium,1
1.6L Ti-VCT 125PS (159 Nm) Titanium,1
1.6L Ti-VCT 125PS (159 Nm) Trend X,1
1.6L Ti-VCT 125PS (159 Nm) Trend X,1
1.5L TDCi 120PS (300 Nm) Style,1
1.5L TDCi 120PS (300 Nm) Titanium,1
1.5L TDCi 120PS (300 Nm) Trend X,1
1.6L TDCi 115PS (270 Nm) Style,1
1.6L TDCi 115PS (270 Nm) Titanium,1
1.6L TDCi 95PS (230 Nm) Trend X,1
1.5L EcoBoost 160PS (240 Nm) Style,1
2.0L TDCi 180PS (400Nm) Titanium,2
1.5L EcoBoost 182PS (240 Nm) Style,1
1.5L TDCi 120PS 120PS (270Nm) Style,1
1.5L TDCi 120PS 120PS (270Nm) Titanium,1
1.5L TDCi 120PS 120PS (300Nm) ST-Line,1
1.5L TDCi 120PS 120PS (300Nm) Style,1
1.5L TDCi 120PS 120PS (300Nm) Titanium,1
1.5L EcoBoost 160PS (240 Nm) Style,1
1.5L EcoBoost 160PS (240 Nm) Titanium,1
1.6L TDCi 115PS (270Nm) Style,1
1.6L TDCi 115PS (270Nm) Titanium,1
2.0L TDCi 180PS (400Nm) Style,2
2.0L TDCi 180PS (400Nm) Titanium,2
1.5L EcoBoost 160PS (240 Nm) Titanium,1
1.5L EcoBoost 160PS (240 Nm) Titanium,1
1.5L EcoBoost 160PS (240 Nm) Style,1
2.0L TDCi 180PS (400Nm) Titanium,2
1.5L 182PS Sport,1
1.5L 182PS RS,1
1.6L 125PS Elegance,1
1.6L 125PS Elegance,1
1.6L 125PS Elegance ECO,1
1.6L 125PS Elegance ECO,1
1.6L 125PS Executive,1
1.6L 125PS Executive ECO,1
1.6L 125PS Executive ECO,1
1.6L 125PS Premium,1
1.6L 125PS Premium ECO,1
1.6L 125PS Premium ECO,1
1.6L 120PS Elegance,1
1.6L 120PS Premium,1
1.6L 160PS Elegance,1
1.6L 160PS Executive,1
1.6L 160PS Executive+,1
1.6L 160PS Premium,1
1.5L 130PS Elegance,1
1.5L 130PS Elegance,1
1.5L 130PS Executive,1
1.5L 130PS Executive,1
1.5L 130PS Premium,1
1.6L 120PS Elegance,1
1.6L 120PS Premium,1
1.3L 102PS Dream,1
1.3L 102PS Elegance,1
1.3L 102PS Elegance,1
1.3L 102PS Premium,1
2.0L 310PS Sport,2
1.4 D-CVVT MODE (BENZİNLİ),1
1.4 D-CVVT MODE PLUS (BENZİNLİ),1
1.4 D-CVVT MODE PLUS CVT OTM. (BENZİNLİ),1
1.4 D-CVVT PRIME (BENZİNLİ),1
1.4 D-CVVT PRIME CVT OTM. (BENZİNLİ),1
1.6 CRDI MODE (DİZEL),1
1.6 CRDI MODE DCT (DİZEL),1
1.6 CRDI MODE PLUS (DİZEL),1
1.6 CRDI MODE PLUS DCT (DİZEL),1
1.6 CRDI PRIME (DİZEL),1
1.6 CRDI PRIME DCT (DİZEL),1
1.6 CRDi ELITE (DİZEL),1
1.6 CRDi ELITE DCT (DİZEL),1
1.6 CRDi ELITE PLUS DCT (DİZEL),1
1.6 CRDi ELITE PLUS DCT (SUNROOF) (DİZEL),1
1.6 D-CVVT STYLE (BENZİNLİ),1
1.6 D-CVVT STYLE OTM. (BENZİNLİ),1
1.0 D-CVVT JUMP (BENZİNLİ),1
1.0 D-CVVT JUMP OTM. (BENZİNLİ),1
1.0 D-CVVT STYLE OTM. (BENZİNLİ),1
1.2 D-CVVT ELITE OTM. (BENZİNLİ),1
1.2 D-CVVT STAR OTM. (BENZİNLİ),1
1.0 T-GDI STAR (BENZİNLİ) ,1
1.2 MPI ELITE (BENZİNLİ),1
1.2 MPI JUMP (BENZİNLİ),1
1.2 MPI STYLE (BENZİNLİ),1
1.4 CRDi ELITE (DİZEL),1
1.4 CRDi JUMP (DİZEL),1
1.4 CRDi STYLE (DİZEL),1
1.4 MPI ELITE OTM. (BENZİNLİ),1
1.4 MPI JUMP OTM. (BENZİNLİ),1
1.4 MPI STAR OTM. (BENZİNLİ)  ,1
1.4 MPI STYLE OTM. (BENZİNLİ),1
1.0 T-GDI ELITE (BENZİNLİ),1
1.4 MPI ELITE OTM. (BENZİNLİ),1
1.4 MPI (BENZİNLİ),1
1.4 MPI OTM. (BENZİNLİ),1
1.4 MPI BLUE DRIVE (BENZİNLİ),1
1.6 CRDi BLUE DRIVE (DİZEL),1
1.6 CRDi BLUE DRIVE DCT (DİZEL),1
1.6 CRDi ELITE (DİZEL),1
1.6 CRDi ELITE DCT (DİZEL),1
1.6 CRDi STYLE (DİZEL),1
1.6 CRDi STYLE DCT (DİZEL),1
1.6 CRDi STYLE DESIGN PACK DCT (DİZEL),1
1.6 GDI ELITE (BENZİNLİ),1
1.6 GDI ELITE DCT (BENZİNLİ),1
1.6 GDI STYLE (BENZİNLİ),1
1.6 GDI STYLE DCT (BENZİNLİ),1
1.6 GDI STYLE DESIGN PACK DCT (BENZİNLİ),1
1.6 TURBO GDI SPORT (BENZİNLİ),1
1.6 CRDi ELITE DCT (DİZEL),1
1.6 CRDi STYLE (DİZEL),1
1.6 CRDi STYLE DCT (DİZEL),1
2.0 CRDi (DİZEL) 6 İLERİ OTOMATİK SHIFTRONIC,2
1.6 GDI ELITE OTM. (BENZİNLİ),1
1.6 GDI STYLE (BENZİNLİ),1
1.6 GDI STYLE OTM. (BENZİNLİ),1
1.6 T-GDI ELITE (BENZİNLİ),1
1.6 T-GDI ELITE 4X2 DCT (BENZİNLİ),1
1.6 T-GDI ELITE 4X4 DCT (BENZİNLİ),1
1.6 T-GDI ELITE PLUS 4X2 DCT (BENZİNLİ),1
1.6 T-GDI ELITE PLUS 4X4 DCT (BENZİNLİ),1
1.6 T-GDI ELITE PLUS 4X4 DCT RED PACK (BENZİNLİ),1
1.6 T-GDI STYLE (BENZİNLİ),1
1.6 T-GDI STYLE 4X2 DCT (BENZİNLİ),1
1.6 T-GDI STYLE 4X4 DCT (BENZİNLİ),1
2.0 CRDi EXECUTIVE 4X4 OTM. (DİZEL),2
1.5 D 109 BG Premium ,1
1.5 D 109 BG Premium City Black,1
1.5 D 109 BG Premium City Black - Sport,1
1.6 P 156 BG Premium ,1
1.6 P 156 BG Premium Tech,1
1.6 P 156 BG Premium Tech - Theme ,1
1.6 P 156 BG Sport ,1
2.0 T 211 BG Premium ,2
2.0 T 211 BG Sport Tech,2
2.5L 163 PS 4x2 LIMITED 6M/T Çift Kabin,2
2.5L 163 PS 4x2 TR 6M/T Çift Kabin,2
2.5L 163 PS 4x4 LIMITED 6M/T Çift Kabin,2
2.5L 163 PS 4x4 TR 6M/T Çift Kabin,2
2.5L 163 PS 4x4 V-CROSS 5A/T Çift Kabin,2
3.0 250hp 8ATX 4x4 Dizel Euro 6,3
3.0 250hp 8ATX 4x4 Dizel Euro 6,3
3.0 250hp 8ATX 4x4 Dizel Euro 6,3
1.4 MultiAir2 Turbo Benzinli 9ATX AWD Limited,1
1.4 MultiAir2 Turbo Benzinli DDCT 4x2 Limited,1
1.4 MultiAir2 Turbo Benzinli DDCT 4x2 Longitude,1
1.4 MultiAir2 Turbo Benzinli MT 4x2 Limited,1
1.4 MultiAir2 Turbo Benzinli MT 4x2 Longitude,1
1.6 120hp DDCT Longitude Dizel Std,1
1.6 120hp DDCT Longitude Dizel Std+Sunroof,1
1.6 Multijet Dizel MT 4x2 Limited,1
1.6 Multijet Dizel MT 4x2 Longitude,1
2.0 Multijet Dizel 9AT 4x4 Trailhawk,2
2.8 200hp 4x4 Dizel,2
1.6L 136 PS COMFORT,1
1.6L 136 PS COMFORT,1
1.6L 136 PS CONCEPT PLUS,1
1.6L 136 PS CONCEPT PLUS,1
1.6L 136 PS PREMIUM,1
1.6L 136 PS COMFORT,1
1.6L 136 PS COMFORT,1
1.6L 136 PS CONCEPT PLUS,1
1.6L 136 PS CONCEPT PLUS,1
1.6L 136 PS PREMIUM,1
1.6L 130 PS COMFORT,1
1.6L 130 PS CONCEPT,1
1.6L 130 PS CONCEPT TECHNO PAKET,1
1.6L 136 PS CONCEPT,1
1.6L 136 PS CONCEPT PLUS,1
1.6L 136 PS CONCEPT TECHNO PAKET,1
1.25 84 PS COMFORT,1
1.25 85 PS COMFORT,1
1.25 85 PS CONCEPT,1
1.4 100 PS COMFORT,1
1.4 100 PS CONCEPT,1
1.4 90 PS COMFORT,1
1.4 90 PS CONCEPT,1
1.4 90 PS CONCEPT PLUS,1
1.4 109 PS COMFORT,1
2.0L 185 PS PRESTIGE,2
1.6L 136 PS PREMIUM,1
1.6L 132 PS COMFORT,1
1.6L 132 PS COMFORT,1
1.6L 132 PS CONCEPT PLUS,1
1.6L 132 PS PREMIUM,1
1.6L 177 PS EXCLUSIVE GT-Line,1
1.6L 177 PS PREMIUM TURBO,1
1.6L 177 PS PRESTIGE GT-Line,1
2.0L 185 PS PRESTIGE GT-Line,2
2.0 SD4 240 BG HSE,2
2.0 SD4 240 BG HSE LUXURY,2
2.0 TD4 180 BG HSE,2
2.0 TD4 180 BG SE,2
2.0 TD4 180 BG SE PLUS,2
2.0 Si4 240 BG HSE,2
2.0 Si4 240 BG HSE LUXURY,2
2.0 Td4 150 BG HSE,2
2.0 Td4 150 BG SE,2
2.0 Td4 180 BG HSE,2
2.0 Td4 180 BG HSE LUXURY,2
3.0 SDV6 354 BG AUTOBIOGRAPHY,3
3.0 SDV6 354 BG LWB AUTOBIOGRAPHY,3
3.0 SDV6 354 BG VOGUE SE,3
3.0 TDV6 258 BG AUTOBIOGRAPHY,3
3.0 TDV6 258 BG HSE,3
3.0 TDV6 258 BG LWB AUTOBIOGRAPHY,3
3.0 TDV6 258 BG LWB VOGUE,3
3.0 TDV6 258 BG VOGUE,3
5.0 S/C V8 510 BG AUTOBIOGRAPHY,5
5.0 S/C V8 510 BG LOWER LWB S/C AUTOBIOGRAPHY,5
5.0 S/C V8 550 BG LOWER LWB S/C SVAUTOBIOGRAPHY,5
2.0 Si4 240 BG HSE,2
2.0 Si4 240 BG HSE DYNAMIC,2
2.0 Td4 150 BG SE DYNAMIC,2
2.0 Td4 180 BG HSE,2
2.0 Td4 180 BG HSE DYNAMIC,2
2.0 Td4 180 BG SE DYNAMIC,2
2.0 Td4 180 BG HSE DYNAMIC,2
2.0 Sd4 240 BG HSE,2
2.0 Sd4 240 BG HSE PLUS,2
2.0 Sd4 240 BG SE,2
3.0 SDV6 306BG AUTOBIOGRAPHY DYN,3
3.0 SDV6 306BG HSE DYNAMIC,3
3.0 SDV6 354BG AUTOBIOGRAPHY DYN,3
3.0 SDV6 354BG AUTOBIOGRAPHY DYN,3
5.0 S/C V8 550 BG SVR,5
2.0 Comfort,2
2.0 Comfort Plus,2
2.0 Exclusive,2
2.0 F Sport,2
5.0 GSF,5
2.0 Comfort,2
2.0 Exclusive,2
2.0 Executive,2
2.0 Executive Plus,2
2.0 F Sport,2
5.0 LS600hL,5
5.0 LS600hL Shimamoku,5
2.0 Business 4x2,2
2.0 Business 4x4,2
2.0 Comfort 4x2,2
2.0 Comfort Plus 4x2,2
2.0 Exclusive 4x4,2
2.0 Executive 4x4,2
2.0 F Sport 4x4 Panaroof,2
2.0 F Sport 4x4 Sunroof,2
2.0 Comfort,2
2.0 Exclusive,2
2.0 F Sport,2
5.0 RCF Carbon,5
2.0 Comfort 4x2,2
2.0 Comfort 4x4,2
2.0 Comfort Plus 4x2,2
2.0 Exclusive 4x4,2
2.0 Executive 4x4,2
2.0 Executive 4x4 Panaroof,2
2.0 Executive 4x4 Sunroof,2
2.0 F SPORT 4x4,2
3.5 Exclusive 4x4,3
3.5 Executive 4x4,3
3.5 F Sport 4x4,3
1.5 SKY-D 4x4 AT Motion,1
1.5 SKY-D 4x4 AT Power,1
1.5 SKY-D 4x4 AT Power Beyaz Deri,1
1.5 SKY-D 4x4 AT Power Sense,1
1.5 SKY-D 4x4 AT Power Sense Beyaz Deri,1
1.5 SKY-D 4x4 AT Power Sense Plus,1
1.5 SKY-D 4x4 AT Reflex,1
1.5 SKY-D Motion,1
1.5 SKY-D Reflex,1
2.0 SKY-G 4x4 AT Power,2
2.0 SKY-G 4x4 AT Power Beyaz Deri,2
1.5 SKY-D AT Motion,1
1.5 SKY-D AT Power,1
1.5 SKY-D AT Power Beyaz Deri,1
1.5 SKY-D AT Power Sense,1
1.5 SKY-D AT Power Sense Beyaz Deri,1
1.5 SKY-D AT Power Sense Siyah Deri,1
1.5 SKY-D AT Power Siyah Deri,1
1.5 SKY-D AT Reflex,1
1.5 SKY-D Motion,1
1.5 SKY-D Reflex,1
1.5 SKY-G AT Motion,1
1.5 SKY-G AT Power,1
1.5 SKY-G AT Power Beyaz Deri,1
1.5 SKY-G AT Power Sense,1
1.5 SKY-G AT Power Sense Beyaz Deri,1
1.5 SKY-G AT Power Sense Siyah Deri,1
1.5 SKY-G AT Power Siyah Deri,1
1.5 SKY-G AT Reflex,1
1.5 SKY-G Motion,1
1.5 SKY-G Reflex,1
1.5 SKY-D AT Motion,1
1.5 SKY-D AT Power,1
1.5 SKY-D AT Power Beyaz Deri,1
1.5 SKY-D AT Power Sense,1
1.5 SKY-D AT Power Sense Beyaz Deri,1
1.5 SKY-D AT Power Sense Siyah Deri,1
1.5 SKY-D AT Power Siyah Deri,1
1.5 SKY-D AT Reflex,1
1.5 SKY-D Motion,1
1.5 SKY-D Reflex,1
1.5 SKY-G AT Motion,1
1.5 SKY-G AT Power,1
1.5 SKY-G AT Power Beyaz Deri,1
1.5 SKY-G AT Power Sense,1
1.5 SKY-G AT Power Sense Beyaz Deri,1
1.5 SKY-G AT Power Sense Siyah Deri,1
1.5 SKY-G AT Power Siyah Deri,1
1.5 SKY-G AT Reflex,1
1.5 SKY-G Motion,1
1.5 SKY-G Reflex,1
1.5 SKY-G Soul,1
2.0 SKY-G AT Power,2
2.0 SKY-G AT Power Beyaz Deri,2
1.5 SKY-G Motion,1
1.5 SKY-G Power Sense,1
1.5 SKY-G Power Sport,1
2.0 SKY-G Power Sport,2
1.5 109BG AMG,1
1.5 109BG Style,1
1.5 109BG Urban,1
1.6 122BG Style,1
1.6 122BG Urban,1
1.6 156BG AMG,1
1.6 156BG Urban,1
2.0 381BG Performance 4MATIC,2
1.5 109BG AMG,1
1.5 109BG Style,1
1.5 109BG Urban,1
1.6 122BG AMG,1
1.6 122BG Style,1
1.6 122BG Urban,1
1.6 156BG AMG,1
1.6 156BG AMG,1
1.6 156BG Avantgarde,1
1.6 156BG Comfort,1
1.6 156BG Exclusive,1
1.6 156BG Fascination,1
1.6 156BG Style,1
1.6 156BG AMG,1
1.6 156BG AMG,1
1.6 156BG Sport,1
1.6 156BG AMG,1
1.6 156BG Avantgarde,1
1.6 156BG Exclusive,1
1.6 156BG Fascination,1
1.6 156BG Style,1
1.6 136BG AMG,1
1.6 136BG Avantgarde,1
1.6 136BG Comfort,1
1.6 136BG Exclusive,1
1.6 136BG Fascination,1
1.6 136BG Style,1
2.0 184BG Fascination,2
1.6 136BG AMG,1
1.6 136BG Avantgarde,1
1.6 136BG Exclusive,1
1.6 136BG Fascination,1
1.6 136BG Style,1
2.2 170BG Fascination,2
2.0 211BG Fascination,2
2.2 204BG Fascination,2
2.0 245BG AMG,2
2.0 245BG AMG,2
4.0 476BG Performance,4
4.0 510BG Performance,4
4.0 510BG Performance,4
1.5 109BG AMG,1
1.5 109BG Comfort,1
1.5 109BG Urban,1
1.6 156BG AMG,1
1.6 156BG Comfort,1
1.6 156BG Urban,1
2.0 381BG Performance 4MATIC,2
2.2 204BG Sport 4MATIC,2
3.0 258BG AMG 4MATIC,3
5.5 585BG Performance 4MATIC,5
1.6 156BG AMG,1
1.6 156BG Avantgarde,1
1.6 156BG Exclusive,1
2.0 194BG AMG 4MATIC,2
2.0 194BG Avantgarde 4MATIC,2
2.0 194BG Exclusive 4MATIC,2
2.0 194BG AMG,2
2.0 245BG AMG,2
2.0 245BG Avantgarde,2
2.0 245BG Exclusive,2
2.0 245BG AMG,2
3.0 258BG AMG,3
3.0 258BG Avantgarde,3
3.0 258BG Exclusive,3
4.0 571BG Performance 4MATIC,4
4.0 612BG Performance 4MATIC,4
1.5 109BG AMG,1
1.5 109BG Urban,1
1.6 156BG AMG,1
1.6 156BG Urban,1
2.0 381BG Performance 4MATIC,2
2.2 170BG Style 4MATIC,2
2.0 211BG AMG 4MATIC,2
2.0 211BG Exclusive 4MATIC,2
2.0 211BG Style 4MATIC,2
2.2 204BG AMG 4MATIC,2
2.2 204BG Exclusive 4MATIC,2
2.0 211BG AMG 4MATIC,2
2.2 204BG AMG 4MATIC,2
2.2 204BG Style 4MATIC,2
3.0 258BG AMG 4MATIC,3
3.0 258BG Style 4MATIC,3
3.0 258BG AMG 4MATIC,3
3.0 258BG Style 4MATIC,3
5.5 557BG Performance,5
5.5 585BG Performance,5
3.0 258BG Power 4MATIC,3
4.7 455BG Power 4MATIC,4
5.5 585BG Performance,5
4.0 462BG Performance,4
4.0 462BG Performance,4
4.0 462BG Performance,4
4.7 455BG Maybach,4
4.7 455BG Maybach 4MATIC,4
6.0 530BG Maybach,6
2.2 231BG Vizyon,2
3.0 258BG Short 4MATIC,3
3.0 258BG Vizyon,3
3.0 258BG Vizyon 4MATIC,3
3.5 306BG Short,3
3.0 367BG Sport 4MATIC,3
3.0 333BG Vizyon 4MATIC,3
3.5 306BG Vizyon,3
4.7 455BG AMG,4
4.7 455BG AMG 4MATIC,4
4.7 455BG Vizyon,4
4.7 455BG Vizyon 4MATIC,4
6.0 530BG Vizyon,6
5.5 585BG Performance 4MATIC,5
5.5 585BG Performance,5
5.5 585BG Vizyon 4MATIC,5
6.0 630BG Performance 4MATIC,6
3.0 367BG Roadster,3
5.5 585BG Performance,5
1.6 156BG AMG,1
2.0 245BG AMG,2
3.0 367BG Performance,3
1.5 136 BG Chili,1
1.5 136 BG Pepper,1
1.5 136 BG Türkiye Paketi,1
1.5 116 BG Chili,1
1.5 116 BG Pepper,1
1.5 116 BG Türkiye Paketi,1
1.5 136 BG Chili,1
1.5 136 BG Pepper,1
1.5 136 BG Türkiye Paketi,1
1.5 116 BG Chili,1
1.5 116 BG Pepper,1
1.5 116 BG Türkiye Paketi,1
1.5 136 BG Premium,1
1.5 136 BG Türkiye Paketi,1
1.5 136 BG Chili,1
1.5 136 BG Pepper,1
1.5 136 BG Türkiye Paketi,1
1.5 136 BG Chili,1
1.5 136 BG Pepper,1
1.5 136 BG Türkiye Paketi,1
2.0 231 BG Türkiye Paketi,2
1.6 MT INSTYLE(Dizel),1
1.6 MT INTENSE,1
1.6 MT INTENSE(Dizel),1
1.6 MT INVITE,1
1.2 CVT INTENSE(NAVİGASYONLU),1
1.2 MT INTENSE(NAVİGASYONLU),1
2.4L 4X2 AT STORM,2
2.4L 4x2 MT STORM,2
2.4L 4X4 AT BLIZZARD,2
2.4L 4X4 AT TORNADO,2
2.4L 4X4 MT STORM,2
2.4L 4X4 MT TORNADO,2
1.6 MT INVITE,1
2.0 CVT INSTYLE4X4,2
3.2 DID INSTYLE AT,3
1.2 CVT INTENSE,1
1.2 DIG-T BLACK EDITION,1
1.2 DIG-T PLATINUM,1
1.2 DIG-T PLATINUM PREMIUM PACK,1
1.2 DIG-T SKY PACK,1
1.2 DIG-T SPECIAL EDITION,1
1.2 DIG-T TEKNA,1
1.2 DIG-T VISIA,1
1.5 dCi BLACK EDITION,1
1.5 dCi PLATINUM,1
1.5 dCi PLATINUM PREMIUM PACK,1
1.5 dCi SKY PACK,1
1.5 dCi SPECIAL EDITION,1
1.5 dCi TEKNA,1
1.5 dCi VISIA,1
1.6 BLACK EDITION,1
1.6 PLATINUM,1
1.6 PLATINUM PREMIUM PACK,1
1.6 SKY PACK,1
1.6 SPECIAL EDITION,1
1.6 TEKNA,1
1.6 VISIA,1
1.2 MATCH,1
1.2 MATCH,1
1.2 STREET,1
1.2 STREET,1
2.3 dCi 4X2 TEKNA,2
2.3 dCi 4X2 VISIA,2
2.3 dCi 4X4 PLATINUM,2
2.3 dCi 4X4 TEKNA,2
2.3 dCi 4X4 VISIA,2
1.2 DIG-T N-TEC,1
1.2 DIG-T TEKNA,1
1.2 DIG-T VISIA,1
1.2 DIG-T VISIA,1
1.5 dCi N-TEC,1
1.5 dCi TEKNA,1
1.5 dCi VISIA,1
1.2 DIG-T BLACK EDITION,1
1.2 DIG-T BLACK EDITION,1
1.2 DIG-T PLATINUM PREMIUM PACK,1
1.2 DIG-T SKY PACK,1
1.2 DIG-T SKY PACK,1
1.2 DIG-T TEKNA,1
1.2 DIG-T TEKNA,1
1.2 DIG-T VISIA,1
1.2 DIG-T VISIA,1
1.5 dCi BLACK EDITION,1
1.5 dCi PLATINUM PREMIUM PACK,1
1.5 dCi SKY PACK,1
1.5 dCi TEKNA,1
1.5 dCi VISIA,1
1.6 dCi BLACK EDITION,1
1.6 dCi PLATINUM PREMIUM PACK,1
1.6 dCi SKY PACK,1
1.6 dCi TEKNA,1
1.6 dCi VISIA,1
1.6 dCi BLACK EDITION,1
1.6 dCi BLACK EDITION,1
1.6 dCi DESIGN PACK,1
1.6 dCi DESIGN PACK,1
1.6 dCi DESIGN PACK ALL MODE 4X4-i,1
1.6 dCi PLATINUM PREMIUM PACK,1
1.6 dCi PLATINUM PREMIUM PACK,1
1.6 dCi SKY PACK,1
1.6 dCi SKY PACK,1
1.6 dCi VISIA,1
1.2 lt  XEL 70 HP MT5 JAM,1
1.4 lt.  XEL 87 HP MTA GLAM,1
1.4 lt.  XEL 87 HP MTA JAM,1
1.4 lt.  XEL 87 HP MTA ROCKS,1
1.4 lt.  XEL 87 HP MTA SLAM,1
1.4 lt. NEH TURBO 150 HP - MT6 Adam S,1
1.4 Benzinli 100 HP MT5 Enjoy,1
1.4 Benzinli 150 HP AT6 S&S Dynamic,1
1.4 Benzinli 150 HP AT6 S&S Enjoy,1
1.4 Benzinli 150 HP AT6 S&S Excellence,1
1.4 Benzinli 150 HP AT6 S&S OPC Line Sport,1
1.4 Benzinli 150 HP MT6 Dynamic,1
1.4 Benzinli 150 HP MT6 Excellence,1
1.6 Benzinli 200 HP AT6 S&S OPC Line Sport,1
1.6 Dizel 110 HP MT6 Design,1
1.6 Dizel 110 HP MT6 Enjoy,1
1.6 Dizel 136 HP AT6 Design,1
1.6 Dizel 136 HP AT6 Dynamic,1
1.6 Dizel 136 HP AT6 Enjoy,1
1.6 Dizel 136 HP AT6 Excellence,1
1.6 Dizel 136 HP AT6 OPC Line Sport,1
1.6 Dizel 136 HP MT6 S&S Dynamic,1
1.6 Dizel 136 HP MT6 S&S Excellence,1
1.4 Benzinli 140 HP AT Design,1
1.4 Benzinli 140 HP AT Edition Plus,1
1.4 Benzinli 140 HP AT Sport,1
1.4 Benzinli 140 HP MT Sport,1
1.6 Benzinli 115 HP MT Edition,1
1.6 Benzinli 115 HP MT Edition Plus,1
1.6 Dizel 110 HP MT S&S Design,1
1.6 Dizel 136 HP AT Design,1
1.6 Dizel 136 HP AT Elite,1
1.6 Dizel 136 HP AT Sport,1
1.6 Dizel 136 HP MT S&S Elite,1
1.6 Dizel 136 HP MT S&S Sport,1
1.4 Benzinli 150 HP AT6 S&S Dynamic,1
1.4 Benzinli 150 HP AT6 S&S Excellence,1
1.6 Dizel 136 HP AT6 Dynamic,1
1.6 Dizel 136 HP AT6 Excellence,1
1.6 XHT 170 HP AT6 Cosmo,1
1.2 70 HP MT-5 Design,1
1.2 70 HP MT-5 Enjoy,1
1.2 70 HP MT-5 Essentia,1
1.3 CDTI 75HP Design,1
1.3 CDTI 75HP Enjoy ,1
1.3 CDTI 75HP Essentia ,1
1.3 CDTI 95HP MT-A Easytronic Şanzıman Start & Stop Design,1
1.3 CDTI 95HP MT-A Easytronic Şanzıman Start & Stop Enjoy ,1
1.3 CDTI 95HP MT-A Easytronic Şanzıman Start & Stop Essentia ,1
1.4 90 HP Otomatik Şanzıman AT-6 Color Edition,1
1.4 90 HP Otomatik Şanzıman AT-6 Design,1
1.4 90 HP Otomatik Şanzıman AT-6 Enjoy,1
1.4 90 HP Otomatik Şanzıman AT-6 Essentia,1
1.6 Dizel 136HP AT6 Cosmo,1
2.0 Dizel 170HP AT6 4x4 Cosmo,2
1.6 Benzinli 170HP AT6  Edition  Elegance,1
1.6 Dizel 136HP AT6 Cosmo,1
1.6 Dizel 136HP AT6 Design,1
1.6 Dizel 136HP AT6 Edition  Elegance,1
1.6 Dizel 136HP AT6 Elite,1
1.6 Dizel 136HP AT6 Sport,1
1.6 Dizel 136HP MT6 S&S Cosmo,1
1.6 Dizel 136HP MT6 S&S Edition  Elegance,1
1.6 Dizel 136HP MT6 S&S Sport,1
2.0 Dizel 170HP AT6 4x2 Cosmo,2
2.0 Dizel 170HP AT6 4x4 Cosmo,2
1.6 Dizel 136HP AT6 Cosmo,1
1.4 140 AT FWD - Benzinli Enjoy,1
1.4 140 AT FWD Color Edition - Benzinli ,1
1.4 140 AT FWD Design - Benzinli Design,1
1.4 140 AT FWD Excellence - Benzinli ,1
1.4 140 HP MT AWD Color Edition - Benzinli ,1
1.4 140 HP MT AWD Excellence - Benzinli ,1
1.4 140 MT FWD  Start&Stop - Benzinli Enjoy,1
1.4 140 MT FWD Color Edition Start&Stop - Benzinli ,1
1.4 140 MT FWD Excellence Start&Stop - Benzinli ,1
1.4 152 HP AT AWD Color Edition - Benzinli ,1
