donanim,yakit,vites
1.8 TCT,Benzin,Otomatik
1.8 TCT,Benzin,Otomatik
2.0 200hp SUPER RWD BENZİNLİ AT,Benzin,Otomatik
2.0 280hp VELOCE AWD BENZİNLİ AT,Benzin,Otomatik
2.9 510hp QV RWD BENZİNLİ AT,Benzin,Otomatik
1.4 TB MULTIAIR SUPER BENZİNLİ TCT,Benzin,Otomatik
1.6 JTD 120hp PROGRESSION DİZEL MT,Dizel,Düz
1.6 JTD 120hp SUPER DİZEL MT,Dizel,Düz
1.6 JTDM 120hp SUPER DİZEL TCT,Dizel,Otomatik
1.6 JTDM PROGRESSION DİZEL TCT,Dizel,Otomatik
1.0 TFSI 95 hp Dynamic S tronic,Benzin,Otomatik
1.0 TFSI 95 hp Sport S tronic,Benzin,Otomatik
1.4 TFSI 125 hp Dynamic S tronic,Benzin,Otomatik
1.4 TFSI 125 hp Sport S tronic ,Benzin,Otomatik
1.6 TDI 116 hp Dynamic S tronic ,Dizel,Otomatik
1.6 TDI 116 hp Sport S tronic ,Dizel,Otomatik
1.4 TFSI 150 hp (COD) Design Line S tronic PI,Benzin,Otomatik
1.4 TFSI 150 hp (COD) Dynamic S tronic PI,Benzin,Otomatik
1.4 TFSI 150 hp (COD) Sport Line S tronic PI,Benzin,Otomatik
1.0 TFSI 116 hp Design Line S tronic PI,Benzin,Otomatik
1.0 TFSI 116 hp Dynamic S tronic PI,Benzin,Otomatik
1.0 TFSI 116 hp Sport Line S tronic PI,Benzin,Otomatik
1.4 TFSI 150 hp (COD) Design Line S tronic PI,Benzin,Otomatik
1.4 TFSI 150 hp (COD) Dynamic S tronic PI,Benzin,Otomatik
1.4 TFSI 150 hp (COD) Sport Line S tronic PI,Benzin,Otomatik
1.6 TDI 110 hp Design Line S tronic PI,Dizel,Otomatik
1.6 TDI 110 hp Dynamic S tronic PI,Dizel,Otomatik
1.6 TDI 110 hp Sport Line S tronic PI ,Dizel,Otomatik
1.6 TDI 116 hp Design Line S tronic PI,Dizel,Otomatik
1.6 TDI 116 hp Dynamic S tronic PI,Dizel,Otomatik
1.6 TDI 116 hp Sport Line S tronic PI,Dizel,Otomatik
1.0 TFSI 116 hp Design Line S tronic PI,Benzin,Otomatik
1.0 TFSI 116 hp Dynamic S tronic PI,Benzin,Otomatik
1.0 TFSI 116 hp Sport Line S tronic PI,Benzin,Otomatik
1.4 TFSI 150 hp (COD) Design Line S tronic PI,Benzin,Otomatik
1.4 TFSI 150 hp (COD) Dynamic S tronic PI,Benzin,Otomatik
1.4 TFSI 150 hp (COD) Sport Line S tronic PI,Benzin,Otomatik
1.6 TDI 110 hp Design Line S tronic PI,Dizel,Otomatik
1.6 TDI 110 hp Dynamic S tronic PI,Dizel,Otomatik
1.6 TDI 110 hp Sport Line S tronic PI ,Dizel,Otomatik
1.6 TDI 116 hp Design Line S tronic PI,Dizel,Otomatik
1.6 TDI 116 hp Dynamic S tronic PI,Dizel,Otomatik
1.6 TDI 116 hp Sport Line S tronic PI,Dizel,Otomatik
1.4 TFSI 150 hp Design S tronic,Benzin,Otomatik
1.4 TFSI 150 hp Dynamic S tronic,Benzin,Otomatik
1.4 TFSI 150 hp Sport S tronic,Benzin,Otomatik
2.0 TDI 190 hp Design S tronic,Dizel,Otomatik
2.0 TDI 190 hp Dynamic S tronic,Dizel,Otomatik
2.0 TDI 190 hp quattro Design S tronic,Dizel,Otomatik
2.0 TDI 190 hp quattro Dynamic S tronic,Dizel,Otomatik
2.0 TDI 190 hp quattro Sport S tronic,Dizel,Otomatik
2.0 TDI 190 hp Sport S tronic,Dizel,Otomatik
2.0 TFSI 252 hp quattro Design S tronic,Benzin,Otomatik
2.0 TFSI 252 hp quattro Dynamic S tronic,Benzin,Otomatik
2.0 TFSI 252 hp quattro Sport S tronic,Benzin,Otomatik
2.0 TDI quattro 190 hp S tronic,Dizel,Otomatik
2.0 TFSI quattro 252 hp S tronic,Benzin,Otomatik
1.4 TFSI 150 hp Design S tronic,Benzin,Otomatik
1.4 TFSI 150 hp Dynamic S tronic,Benzin,Otomatik
1.4 TFSI 150 hp Sport S tronic,Benzin,Otomatik
2.0 TDI 190 hp Design S tronic,Dizel,Otomatik
2.0 TDI 190 hp Dynamic S tronic,Dizel,Otomatik
2.0 TDI 190 hp quattro Design S tronic,Dizel,Otomatik
2.0 TDI 190 hp quattro Dynamic S tronic,Dizel,Otomatik
2.0 TDI 190 hp quattro Sport S tronic,Dizel,Otomatik
2.0 TDI 190 hp Sport S tronic,Dizel,Otomatik
2.0 TFSI 252 hp quattro Design S tronic,Benzin,Otomatik
2.0 TFSI 252 hp quattro Dynamic S tronic,Benzin,Otomatik
2.0 TFSI 252 hp quattro Sport S tronic,Benzin,Otomatik
1.4 TFSI 150 hp Design S tronic,Benzin,Otomatik
1.4 TFSI 150 hp Dynamic S tronic,Benzin,Otomatik
1.4 TFSI 150 hp Sport S tronic,Benzin,Otomatik
2.0 TDI 190 hp Design S tronic,Dizel,Otomatik
2.0 TDI 190 hp Dynamic S tronic,Dizel,Otomatik
2.0 TDI 190 hp quattro Design S tronic,Dizel,Otomatik
2.0 TDI 190 hp quattro Dynamic S tronic,Dizel,Otomatik
2.0 TDI 190 hp quattro Sport S tronic,Dizel,Otomatik
2.0 TDI 190 hp Sport S tronic,Dizel,Otomatik
2.0 TFSI 252 hp quattro Design S tronic,Benzin,Otomatik
2.0 TFSI 252 hp quattro Dynamic S tronic,Benzin,Otomatik
2.0 TFSI 252 hp quattro Sport S tronic,Benzin,Otomatik
1.4 TFSI 150 hp Design S tronic,Benzin,Otomatik
1.4 TFSI 150 hp Dynamic S tronic,Benzin,Otomatik
1.4 TFSI 150 hp Sport S tronic,Benzin,Otomatik
2.0 TDI 190 hp  Sport S tronic,Dizel,Otomatik
2.0 TDI 190 hp Design S tronic,Dizel,Otomatik
2.0 TDI 190 hp Dynamic S tronic,Dizel,Otomatik
2.0 TDI 190 hp quattro Design S tronic,Dizel,Otomatik
2.0 TDI 190 hp quattro Dynamic S tronic,Dizel,Otomatik
2.0 TDI 190 hp quattro Sport S tronic,Dizel,Otomatik
2.0 TFSI 252 hp quattro Design S tronic,Benzin,Otomatik
2.0 TFSI 252 hp quattro Dynamic S tronic,Benzin,Otomatik
2.0 TFSI 252 hp quattro Sport S tronic,Benzin,Otomatik
2.0 TDI 190 hp quattro S tronic ,Dizel,Otomatik
2.0 TDI 190 hp S tronic ,Dizel,Otomatik
3.0 TDI 272 hp quattro S tronic ,Dizel,Otomatik
3.0 TDI 320 hp quattro tiptronic,Dizel,Otomatik
3.0 TDI 272 hp quattro S tronic,Dizel,Otomatik
3.0 TDI 320 hp quattro tiptronic,Dizel,Otomatik
2.0 TDI 190 hp quattro S tronic,Dizel,Otomatik
2.0 TDI 190 hp S tronic,Dizel,Otomatik
2.0 TFSI 252 hp quattro S tronic,Benzin,Otomatik
3.0 TDI 272 hp quattro S tronic,Dizel,Otomatik
3.0 TDI 320 hp quattro tiptronic,Dizel,Otomatik
2.0 TFSI 252 hp quattro tiptronic,Benzin,Otomatik
3.0 TDI 262 hp quattro tiptronic,Dizel,Otomatik
4.0 TFSI 435 hp quattro tiptronic,Benzin,Otomatik
4.2 TDI 385 hp quattro tiptronic,Dizel,Otomatik
6.3 FSI 500 hp quattro tiptronic,Benzin,Otomatik
1.4 Turbo FSI 150 hp (COD) Design S tronic,Benzin,Otomatik
1.4 Turbo FSI 150 hp (COD) Dynamic S tronic,Benzin,Otomatik
1.4 Turbo FSI 150 hp (COD) Sport S tronic,Benzin,Otomatik
1.6 TDI 116 hp Design S tronic,Dizel,Otomatik
1.6 TDI 116 hp Dynamic S tronic,Dizel,Otomatik
1.6 TDI 116 hp Sport S tronic,Dizel,Otomatik
1.4 TFSI 150 hp (COD) S tronic,Benzin,Otomatik
2.0 TDI 184 hp quattro S tronic,Dizel,Otomatik
2.0 TDI 190 hp quattro Design S tronic,Dizel,Otomatik
2.0 TDI 190 hp quattro S tronic,Dizel,Otomatik
2.0 TFSI 230 hp quattro tiptronic,Benzin,Otomatik
2.0 TFSI 252 hp quattro tiptronic,Benzin,Otomatik
3.0 TDI 272 hp quattro tiptronic,Dizel,Otomatik
5.2 FSI V10 plus quattro S tronic,Benzin,Otomatik
5.2 FSI V10 quattro S tronic,Benzin,Otomatik
4.0 TFSI 560 hp quattro tiptronic,Benzin,Otomatik
4.0 TFSI 605 hp performance quattro tiptronic,Benzin,Otomatik
4.0 TFSI 560 hp quattro tiptronic,Benzin,Otomatik
4.0 TFSI 605 hp performance quattro tiptronic,Benzin,Otomatik
4.0 TFSI 520 hp quattro tiptronic,Benzin,Otomatik
4.0 TFSI 605 hp plus quattro tiptronic,Benzin,Otomatik
2.0 TFSI 230 hp quattro S tronic,Benzin,Otomatik
2.0 TFSI 310 hp quattro S tronic,Benzin,Otomatik
1.5 116BG Joy,Dizel,Otomatik
1.5 116BG Joy Plus,Dizel,Otomatik
1.5 116BG M Plus,Dizel,Otomatik
1.5 116BG Pure,Dizel,Otomatik
1.5 136BG Joy,Benzin,Otomatik
1.5 136BG Joy Plus,Benzin,Otomatik
1.5 136BG M Plus,Benzin,Otomatik
1.5 136BG Pure,Benzin,Otomatik
1.5 116BG Joy,Dizel,Otomatik
1.5 116BG Luxury Line,Dizel,Otomatik
1.5 116BG M Sport,Dizel,Otomatik
1.5 116BG Prestige,Dizel,Otomatik
1.5 116BG Sport Line,Dizel,Otomatik
1.5 116BG Joy,Dizel,Otomatik
1.5 116BG Luxury Line,Dizel,Otomatik
1.5 116BG M Sport,Dizel,Otomatik
1.5 116BG Prestige,Dizel,Otomatik
1.5 116BG Sport Line,Dizel,Otomatik
1.5 136BG Joy,Benzin,Otomatik
1.5 136BG Luxury Line,Benzin,Otomatik
1.5 136BG M Sport,Benzin,Otomatik
1.5 136BG Prestige,Benzin,Otomatik
1.5 136BG Sport Line,Benzin,Otomatik
1.5 136BG Joy,Benzin,Otomatik
1.5 136BG Luxury Line,Benzin,Otomatik
1.5 136BG M Sport,Benzin,Otomatik
1.5 136BG Prestige,Benzin,Otomatik
1.5 136BG Sport Line,Benzin,Otomatik
2.0 150BG 40th Year Edition,Dizel,Otomatik
2.0 150BG Joy,Dizel,Otomatik
2.0 150BG Luxury Plus,Dizel,Otomatik
2.0 150BG M Plus,Dizel,Otomatik
2.0 150BG Prestige,Dizel,Otomatik
2.0 150BG Sport Plus,Dizel,Otomatik
1.5 136BG 40th Year Edition,Benzin,Otomatik
1.5 136BG Joy,Benzin,Otomatik
1.5 136BG Luxury Plus,Benzin,Otomatik
1.5 136BG M Plus,Benzin,Otomatik
1.5 136BG Prestige,Benzin,Otomatik
1.5 136BG Sport Plus,Benzin,Otomatik
2.0 190BG 40th Year Edition,Dizel,Otomatik
2.0 190BG Joy,Dizel,Otomatik
2.0 190BG Luxury Plus,Dizel,Otomatik
2.0 190BG M Plus,Dizel,Otomatik
2.0 190BG Prestige,Dizel,Otomatik
2.0 190BG Sport Plus,Dizel,Otomatik
2.0 190BG 40th Year Edition xDrive,Dizel,Otomatik
2.0 190BG Joy xDrive,Dizel,Otomatik
2.0 190BG Luxury Plus xDrive,Dizel,Otomatik
2.0 190BG M Plus xDrive,Dizel,Otomatik
2.0 190BG Prestige xDrive,Dizel,Otomatik
2.0 190BG Sport Plus Xdrive,Dizel,Otomatik
2.0 190BG 40th Year Edition,Dizel,Otomatik
2.0 190BG Joy xDrive,Dizel,Otomatik
2.0 190BG Luxury Plus xDrive,Dizel,Otomatik
2.0 190BG M Plus xDrive,Dizel,Otomatik
2.0 190BG Prestige xDrive,Dizel,Otomatik
2.0 190BG Sport Plus xDrive,Dizel,Otomatik
2.0 150BG Joy,Dizel,Otomatik
2.0 150BG Luxury Plus,Dizel,Otomatik
2.0 150BG M Plus,Dizel,Otomatik
2.0 150BG Prestige,Dizel,Otomatik
2.0 150BG Sport Plus,Dizel,Otomatik
2.0 150BG Ultimate M Sport,Dizel,Otomatik
2.0 190BG Joy,Dizel,Otomatik
2.0 190BG Luxury Plus,Dizel,Otomatik
2.0 190BG M Plus,Dizel,Otomatik
2.0 190BG Prestige,Dizel,Otomatik
2.0 190BG Sport Plus,Dizel,Otomatik
2.0 190BG Ultimate M Sport,Dizel,Otomatik
1.5 136BG Joy,Benzin,Otomatik
1.5 136BG Luxury Plus,Benzin,Otomatik
1.5 136BG M Plus,Benzin,Otomatik
1.5 136BG Prestige,Benzin,Otomatik
1.5 136BG Sport Plus,Benzin,Otomatik
1.5 136BG Ultimate M Sport,Benzin,Otomatik
1.5 136BG Joy,Benzin,Otomatik
1.5 136BG Luxury Plus,Benzin,Otomatik
1.5 136BG M Plus,Benzin,Otomatik
1.5 136BG Prestige,Benzin,Otomatik
1.5 136BG Sport Plus,Benzin,Otomatik
1.5 136BG Ultimate M Sport,Benzin,Otomatik
2.0 190BG Luxury Line,Dizel,Otomatik
2.0 190BG M PLus,Dizel,Otomatik
2.0 190BG Sport Line,Dizel,Otomatik
2.0 190BG Ultimate M Sport,Dizel,Otomatik
2.0 190BG Joy xDrive,Dizel,Otomatik
2.0 190BG Luxury Plus xDrive,Dizel,Otomatik
2.0 190BG M Plus xDrive,Dizel,Otomatik
2.0 190BG Sport Plus xDrive,Dizel,Otomatik
2.0 190BG Ultimate M Sport xDrive,Dizel,Otomatik
2.0 190BG Joy xDrive,Dizel,Otomatik
2.0 190BG Luxury Plus xDrive,Dizel,Otomatik
2.0 190BG M Plus xDrive,Dizel,Otomatik
2.0 190BG Sport Plus xDrive,Dizel,Otomatik
2.0 190BG Ultimate M Sport xDrive,Dizel,Otomatik
2.0 252BG Luxury Line xDrive,Benzin,Otomatik
2.0 252BG M Sport xDrive,Benzin,Otomatik
2.0 252BG Sport Line xDrive,Benzin,Otomatik
2.0 252BG Ulitmate M Sport xDrive,Benzin,Otomatik
2.0 252BG Joy xDrive,Benzin,Otomatik
2.0 252BG Luxury Plus xDrive,Benzin,Otomatik
2.0 252BG M Plus xDrive,Benzin,Otomatik
2.0 252BG Sport Plus xDrive,Benzin,Otomatik
2.0 252BG Ultimate M Sport xDrive,Benzin,Otomatik
2.0 252BG Joy xDrive,Benzin,Otomatik
2.0 252BG Luxury Plus xDrive,Benzin,Otomatik
2.0 252BG M Plus xDrive,Benzin,Otomatik
2.0 252BG Sport Plus xDrive,Benzin,Otomatik
2.0 252BG Ultimate M Sport xDrive,Benzin,Otomatik
2.0 190BG Luxury Line,Dizel,Otomatik
2.0 190BG M Sport,Dizel,Otomatik
2.0 190BG Prestige,Dizel,Otomatik
2.0 190BG Sport Line,Dizel,Otomatik
2.0 190BG Luxury Line xDrive,Dizel,Otomatik
2.0 190BG M Sport xDrive,Dizel,Otomatik
2.0 190BG Prestige xDrive,Dizel,Otomatik
2.0 190BG Sport Line xDrive,Dizel,Otomatik
3.0 265BG Luxury Line xDrive,Dizel,Otomatik
3.0 265BG M Sport xDrive,Dizel,Otomatik
3.0 265BG Prestige xDrive,Dizel,Otomatik
3.0 265BG Sport Line xDrive,Dizel,Otomatik
2.0 252BG Executive Luxury,Benzin,Otomatik
2.0 252BG Executive M,Benzin,Otomatik
2.0 252BG Executive Prestige,Benzin,Otomatik
2.0 252BG Executive Sport,Benzin,Otomatik
2.0 252BG Executive Luxury xDrive,Benzin,Otomatik
2.0 252BG Executive M xDrive,Benzin,Otomatik
2.0 252BG Executive Prestige xDrive,Benzin,Otomatik
2.0 252BG Executive Sport xDrive,Benzin,Otomatik
3.0 340BG Executive Luxury xDrive,Benzin,Otomatik
3.0 340BG Executive M xDrive,Benzin,Otomatik
3.0 340BG Executive Prestige xDrive,Benzin,Otomatik
3.0 340BG Executive Sport xDrive,Benzin,Otomatik
3.0 313BG M Sport xDrive,Dizel,Otomatik
3.0 313BG Pure xDrive,Dizel,Otomatik
3.0 313BG Pure Excellence xDrive,Dizel,Otomatik
3.0 313BG Pure Experience xDrive,Dizel,Otomatik
3.0 313BG M Sport xDrive,Dizel,Otomatik
3.0 313BG Pure xDrive,Dizel,Otomatik
3.0 313BG Pure Excellence xDrive,Dizel,Otomatik
3.0 313BG Pure Experience xDrive,Dizel,Otomatik
3.0 313BG M Sport xDrive,Dizel,Otomatik
3.0 313BG Pure xDrive,Dizel,Otomatik
3.0 313BG Pure Excellence xDrive,Dizel,Otomatik
3.0 313BG Pure Experience xDrive,Dizel,Otomatik
2.0 231BG M Excellence,Dizel,Otomatik
2.0 231BG M Sport,Dizel,Otomatik
2.0 231BG Pure Excellence,Dizel,Otomatik
2.0 231BG M Excellence,Dizel,Otomatik
2.0 231BG M Sport,Dizel,Otomatik
2.0 231BG Pure Excellence,Dizel,Otomatik
3.0 265BG M Excellence xDrive,Dizel,Otomatik
3.0 265BG M Sport xDrive,Dizel,Otomatik
3.0 265BG Pure Excellence xDrive,Dizel,Otomatik
2.0 258BG M Excellence,Benzin,Otomatik
2.0 258BG M Sport,Benzin,Otomatik
2.0 258BG Pure Excellence,Benzin,Otomatik
3.0 265BG M Excellence xDrive,Dizel,Otomatik
3.0 265BG M Sport xDrive,Dizel,Otomatik
3.0 265BG Pure Excellence xDrive,Dizel,Otomatik
2.0 258BG M Excellence,Benzin,Otomatik
2.0 258BG M Sport,Benzin,Otomatik
2.0 258BG Pure Excellence,Benzin,Otomatik
2.0 326 3BG M Excellence xDrive iPerformance,Hibrit,Otomatik
2.0 326 3BG M Sport xDrive iPerformance,Hibrit,Otomatik
2.0 326 3BG Pure Excellence xDrive iPerformance,Hibrit,Otomatik
3.0 400BG M Excellence xDrive,Dizel,Otomatik
3.0 400BG M Sport xDrive,Dizel,Otomatik
3.0 400BG Pure Excellence xDrive,Dizel,Otomatik
1.5 362 (266) 4BG Premium Techno,,
1.5 362 (266) 4BG Pure,,
3.0 370BG Pure,Benzin,Otomatik
3.0 431BG M Competition,Benzin,Otomatik
3.0 431BG Pure,Benzin,Otomatik
3.0 431BG M Competition,Benzin,Otomatik
3.0 431BG Pure,Benzin,Otomatik
3.0 431BG M Competition,Benzin,Otomatik
3.0 431BG Pure,Benzin,Otomatik
4.4 560BG Pure,,
4.4 560BG Pure,,
4.4 560BG Pure,,
6.6 609BG Luxury xDrive,,
6.6 609BG Pure xDrive,,
1.5 116BG Joy sDrive16d 2,,
1.5 116BG M Sport sDrive16d 2,,
1.5 116BG Prestige sDrive16d 2,,
1.5 116BG Sport Line sDrive16d 2,,
1.5 116BG X Line sDrive16d 2,,
1.5 136BG Joy sDrive18i,,
1.5 136BG M Sport sDrive18i,,
1.5 136BG Prestige sDrive18i,,
1.5 136BG Sport Line sDrive18i,,
1.5 136BG X Line sDrive18i,,
1.6 170BG Joy sDrive20i,,
1.6 170BG M Plus sDrive20i,,
1.6 170BG Prestige sDrive20i,,
1.6 170BG X Plus sDrive20i,,
2.0 190BG Joy xDrive20d,Dizel,Otomatik
2.0 190BG M Plus xDrive20d,Dizel,Otomatik
